title,venue,city,date,stage,category,lowest_price,avg_price,median_price,listings,source
Curaçao vs Côte d'Ivoire,Lincoln Financial Field,Philadelphia,2026-06-25,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Curaçao vs Côte d'Ivoire,Lincoln Financial Field,Philadelphia,2026-06-25,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Ecuador vs Germany,MetLife Stadium,New York/New Jersey,2026-06-25,Group Stage,Category 3,605,605,605,440,FIFA Official
Ecuador vs Germany,MetLife Stadium,New York/New Jersey,2026-06-25,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Ecuador vs Germany,MetLife Stadium,New York/New Jersey,2026-06-25,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Ecuador vs Germany,MetLife Stadium,New York/New Jersey,2026-06-25,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Japan vs Winner UEFA Playoff B,AT&T Stadium,Dallas,2026-06-26,Group Stage,Category 3,605,605,605,440,FIFA Official
Japan vs Winner UEFA Playoff B,AT&T Stadium,Dallas,2026-06-26,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Japan vs Winner UEFA Playoff B,AT&T Stadium,Dallas,2026-06-26,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Japan vs Winner UEFA Playoff B,AT&T Stadium,Dallas,2026-06-26,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Tunisia vs Netherlands,Arrowhead Stadium,Kansas City,2026-06-26,Group Stage,Category 3,605,605,605,440,FIFA Official
Tunisia vs Netherlands,Arrowhead Stadium,Kansas City,2026-06-26,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Tunisia vs Netherlands,Arrowhead Stadium,Kansas City,2026-06-26,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Tunisia vs Netherlands,Arrowhead Stadium,Kansas City,2026-06-26,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Winner UEFA Playoff C vs USA,SoFi Stadium,Los Angeles,2026-06-26,Group Stage,Category 3,605,605,605,440,FIFA Official
Winner UEFA Playoff C vs USA,SoFi Stadium,Los Angeles,2026-06-26,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Winner UEFA Playoff C vs USA,SoFi Stadium,Los Angeles,2026-06-26,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Winner UEFA Playoff C vs USA,SoFi Stadium,Los Angeles,2026-06-26,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Paraguay vs Australia,Levi's Stadium,San Francisco Bay Area,2026-06-26,Group Stage,Category 3,605,605,605,440,FIFA Official
Paraguay vs Australia,Levi's Stadium,San Francisco Bay Area,2026-06-26,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Paraguay vs Australia,Levi's Stadium,San Francisco Bay Area,2026-06-26,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Paraguay vs Australia,Levi's Stadium,San Francisco Bay Area,2026-06-26,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Norway vs France,Gillette Stadium,Boston,2026-06-26,Group Stage,Category 3,605,605,605,440,FIFA Official
Norway vs France,Gillette Stadium,Boston,2026-06-26,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Norway vs France,Gillette Stadium,Boston,2026-06-26,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Norway vs France,Gillette Stadium,Boston,2026-06-26,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Senegal vs Winner FIFA Playoff 2,BMO Field,Toronto,2026-06-26,Group Stage,Category 3,605,605,605,440,FIFA Official
Senegal vs Winner FIFA Playoff 2,BMO Field,Toronto,2026-06-26,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Senegal vs Winner FIFA Playoff 2,BMO Field,Toronto,2026-06-26,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Senegal vs Winner FIFA Playoff 2,BMO Field,Toronto,2026-06-26,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Cabo Verde vs Saudi Arabia,NRG Stadium,Houston,2026-06-27,Group Stage,Category 3,605,605,605,440,FIFA Official
Cabo Verde vs Saudi Arabia,NRG Stadium,Houston,2026-06-27,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Cabo Verde vs Saudi Arabia,NRG Stadium,Houston,2026-06-27,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Cabo Verde vs Saudi Arabia,NRG Stadium,Houston,2026-06-27,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Uruguay vs Spain,Estadio Akron,Guadalajara,2026-06-27,Group Stage,Category 3,605,605,605,440,FIFA Official
Uruguay vs Spain,Estadio Akron,Guadalajara,2026-06-27,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Uruguay vs Spain,Estadio Akron,Guadalajara,2026-06-27,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Uruguay vs Spain,Estadio Akron,Guadalajara,2026-06-27,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Egypt vs IR Iran,Lumen Field,Seattle,2026-06-27,Group Stage,Category 3,605,605,605,440,FIFA Official
Egypt vs IR Iran,Lumen Field,Seattle,2026-06-27,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Egypt vs IR Iran,Lumen Field,Seattle,2026-06-27,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Egypt vs IR Iran,Lumen Field,Seattle,2026-06-27,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
New Zealand vs Belgium,BC Place,Vancouver,2026-06-27,Group Stage,Category 3,605,605,605,440,FIFA Official
New Zealand vs Belgium,BC Place,Vancouver,2026-06-27,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
New Zealand vs Belgium,BC Place,Vancouver,2026-06-27,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
New Zealand vs Belgium,BC Place,Vancouver,2026-06-27,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Panama vs England,MetLife Stadium,New York/New Jersey,2026-06-27,Group Stage,Category 3,605,605,605,440,FIFA Official
Panama vs England,MetLife Stadium,New York/New Jersey,2026-06-27,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Panama vs England,MetLife Stadium,New York/New Jersey,2026-06-27,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Panama vs England,MetLife Stadium,New York/New Jersey,2026-06-27,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Croatia vs Ghana,Lincoln Financial Field,Philadelphia,2026-06-27,Group Stage,Category 3,605,605,605,440,FIFA Official
Croatia vs Ghana,Lincoln Financial Field,Philadelphia,2026-06-27,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Croatia vs Ghana,Lincoln Financial Field,Philadelphia,2026-06-27,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Croatia vs Ghana,Lincoln Financial Field,Philadelphia,2026-06-27,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Colombia vs Portugal,Hard Rock Stadium,Miami,2026-06-27,Group Stage,Category 3,605,605,605,440,FIFA Official
Colombia vs Portugal,Hard Rock Stadium,Miami,2026-06-27,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Colombia vs Portugal,Hard Rock Stadium,Miami,2026-06-27,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Colombia vs Portugal,Hard Rock Stadium,Miami,2026-06-27,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Winner FIFA Playoff 1 vs Uzbekistan,Mercedes-Benz Stadium,Atlanta,2026-06-27,Group Stage,Category 3,605,605,605,440,FIFA Official
Winner FIFA Playoff 1 vs Uzbekistan,Mercedes-Benz Stadium,Atlanta,2026-06-27,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Winner FIFA Playoff 1 vs Uzbekistan,Mercedes-Benz Stadium,Atlanta,2026-06-27,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Winner FIFA Playoff 1 vs Uzbekistan,Mercedes-Benz Stadium,Atlanta,2026-06-27,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Algeria vs Austria,Arrowhead Stadium,Kansas City,2026-06-28,Group Stage,Category 3,605,605,605,440,FIFA Official
Algeria vs Austria,Arrowhead Stadium,Kansas City,2026-06-28,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Algeria vs Austria,Arrowhead Stadium,Kansas City,2026-06-28,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Algeria vs Austria,Arrowhead Stadium,Kansas City,2026-06-28,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Jordan vs Argentina,AT&T Stadium,Dallas,2026-06-28,Group Stage,Category 3,605,605,605,440,FIFA Official
Jordan vs Argentina,AT&T Stadium,Dallas,2026-06-28,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Jordan vs Argentina,AT&T Stadium,Dallas,2026-06-28,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Jordan vs Argentina,AT&T Stadium,Dallas,2026-06-28,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
2A vs 2B,SoFi Stadium,Los Angeles,2026-06-28,Round of 32,Category 3,790,790,790,380,FIFA Official
2A vs 2B,SoFi Stadium,Los Angeles,2026-06-28,Round of 32,Category 2,1540,1540,1540,380,FIFA Official
2A vs 2B,SoFi Stadium,Los Angeles,2026-06-28,Round of 32,Category 1,2370,2370,2370,380,FIFA Official
2A vs 2B,SoFi Stadium,Los Angeles,2026-06-28,Round of 32,Front Category,3160,3160,3160,380,FIFA Official
1C vs 2F,NRG Stadium,Houston,2026-06-29,Round of 32,Category 3,790,790,790,380,FIFA Official
1C vs 2F,NRG Stadium,Houston,2026-06-29,Round of 32,Category 2,1540,1540,1540,380,FIFA Official
1C vs 2F,NRG Stadium,Houston,2026-06-29,Round of 32,Category 1,2370,2370,2370,380,FIFA Official
1C vs 2F,NRG Stadium,Houston,2026-06-29,Round of 32,Front Category,3160,3160,3160,380,FIFA Official
1E vs 3ABCDF,Gillette Stadium,Boston,2026-06-29,Round of 32,Category 3,790,790,790,380,FIFA Official
1E vs 3ABCDF,Gillette Stadium,Boston,2026-06-29,Round of 32,Category 2,1540,1540,1540,380,FIFA Official
1E vs 3ABCDF,Gillette Stadium,Boston,2026-06-29,Round of 32,Category 1,2370,2370,2370,380,FIFA Official
1E vs 3ABCDF,Gillette Stadium,Boston,2026-06-29,Round of 32,Front Category,3160,3160,3160,380,FIFA Official
1F vs 2C,Estadio BBVA,Monterrey,2026-06-30,Round of 32,Category 3,790,790,790,380,FIFA Official
1F vs 2C,Estadio BBVA,Monterrey,2026-06-30,Round of 32,Category 2,1540,1540,1540,380,FIFA Official
1F vs 2C,Estadio BBVA,Monterrey,2026-06-30,Round of 32,Category 1,2370,2370,2370,380,FIFA Official
1F vs 2C,Estadio BBVA,Monterrey,2026-06-30,Round of 32,Front Category,3160,3160,3160,380,FIFA Official
2E vs 2I,AT&T Stadium,Dallas,2026-06-30,Round of 32,Category 3,790,790,790,380,FIFA Official
2E vs 2I,AT&T Stadium,Dallas,2026-06-30,Round of 32,Category 2,1540,1540,1540,380,FIFA Official
2E vs 2I,AT&T Stadium,Dallas,2026-06-30,Round of 32,Category 1,2370,2370,2370,380,FIFA Official
2E vs 2I,AT&T Stadium,Dallas,2026-06-30,Round of 32,Front Category,3160,3160,3160,380,FIFA Official
1I vs 3CDFGH,MetLife Stadium,New York/New Jersey,2026-06-30,Round of 32,Category 3,790,790,790,380,FIFA Official
1I vs 3CDFGH,MetLife Stadium,New York/New Jersey,2026-06-30,Round of 32,Category 2,1540,1540,1540,380,FIFA Official
1I vs 3CDFGH,MetLife Stadium,New York/New Jersey,2026-06-30,Round of 32,Category 1,2370,2370,2370,380,FIFA Official
1I vs 3CDFGH,MetLife Stadium,New York/New Jersey,2026-06-30,Round of 32,Front Category,3160,3160,3160,380,FIFA Official
1A vs 3CEFHI,Estadio Azteca,Mexico City,2026-07-01,Round of 32,Category 3,790,790,790,380,FIFA Official
1A vs 3CEFHI,Estadio Azteca,Mexico City,2026-07-01,Round of 32,Category 2,1540,1540,1540,380,FIFA Official
1A vs 3CEFHI,Estadio Azteca,Mexico City,2026-07-01,Round of 32,Category 1,2370,2370,2370,380,FIFA Official
1A vs 3CEFHI,Estadio Azteca,Mexico City,2026-07-01,Round of 32,Front Category,3160,3160,3160,380,FIFA Official
1L vs 3EHIJK,Mercedes-Benz Stadium,Atlanta,2026-07-01,Round of 32,Category 3,790,790,790,380,FIFA Official
1L vs 3EHIJK,Mercedes-Benz Stadium,Atlanta,2026-07-01,Round of 32,Category 2,1540,1540,1540,380,FIFA Official
1L vs 3EHIJK,Mercedes-Benz Stadium,Atlanta,2026-07-01,Round of 32,Category 1,2370,2370,2370,380,FIFA Official
1L vs 3EHIJK,Mercedes-Benz Stadium,Atlanta,2026-07-01,Round of 32,Front Category,3160,3160,3160,380,FIFA Official
1G vs 3AEHIJ,Lumen Field,Seattle,2026-07-01,Round of 32,Category 3,790,790,790,380,FIFA Official
1G vs 3AEHIJ,Lumen Field,Seattle,2026-07-01,Round of 32,Category 2,1540,1540,1540,380,FIFA Official
1G vs 3AEHIJ,Lumen Field,Seattle,2026-07-01,Round of 32,Category 1,2370,2370,2370,380,FIFA Official
1G vs 3AEHIJ,Lumen Field,Seattle,2026-07-01,Round of 32,Front Category,3160,3160,3160,380,FIFA Official
1D vs 3BEFIJ,Levi's Stadium,San Francisco Bay Area,2026-07-02,Round of 32,Category 3,790,790,790,380,FIFA Official
1D vs 3BEFIJ,Levi's Stadium,San Francisco Bay Area,2026-07-02,Round of 32,Category 2,1540,1540,1540,380,FIFA Official
1D vs 3BEFIJ,Levi's Stadium,San Francisco Bay Area,2026-07-02,Round of 32,Category 1,2370,2370,2370,380,FIFA Official
1D vs 3BEFIJ,Levi's Stadium,San Francisco Bay Area,2026-07-02,Round of 32,Front Category,3160,3160,3160,380,FIFA Official
1H vs 2J,SoFi Stadium,Los Angeles,2026-07-02,Round of 32,Category 3,790,790,790,380,FIFA Official
1H vs 2J,SoFi Stadium,Los Angeles,2026-07-02,Round of 32,Category 2,1540,1540,1540,380,FIFA Official
1H vs 2J,SoFi Stadium,Los Angeles,2026-07-02,Round of 32,Category 1,2370,2370,2370,380,FIFA Official
1H vs 2J,SoFi Stadium,Los Angeles,2026-07-02,Round of 32,Front Category,3160,3160,3160,380,FIFA Official
2K vs 2L,BMO Field,Toronto,2026-07-02,Round of 32,Category 3,790,790,790,380,FIFA Official
2K vs 2L,BMO Field,Toronto,2026-07-02,Round of 32,Category 2,1540,1540,1540,380,FIFA Official
2K vs 2L,BMO Field,Toronto,2026-07-02,Round of 32,Category 1,2370,2370,2370,380,FIFA Official
2K vs 2L,BMO Field,Toronto,2026-07-02,Round of 32,Front Category,3160,3160,3160,380,FIFA Official
1B vs 3EFGIJ,BC Place,Vancouver,2026-07-03,Round of 32,Category 3,790,790,790,380,FIFA Official
1B vs 3EFGIJ,BC Place,Vancouver,2026-07-03,Round of 32,Category 2,1540,1540,1540,380,FIFA Official
1B vs 3EFGIJ,BC Place,Vancouver,2026-07-03,Round of 32,Category 1,2370,2370,2370,380,FIFA Official
1B vs 3EFGIJ,BC Place,Vancouver,2026-07-03,Round of 32,Front Category,3160,3160,3160,380,FIFA Official
2D vs 2G,AT&T Stadium,Dallas,2026-07-03,Round of 32,Category 3,790,790,790,380,FIFA Official
2D vs 2G,AT&T Stadium,Dallas,2026-07-03,Round of 32,Category 2,1540,1540,1540,380,FIFA Official
2D vs 2G,AT&T Stadium,Dallas,2026-07-03,Round of 32,Category 1,2370,2370,2370,380,FIFA Official
2D vs 2G,AT&T Stadium,Dallas,2026-07-03,Round of 32,Front Category,3160,3160,3160,380,FIFA Official
1J vs 2H,Hard Rock Stadium,Miami,2026-07-03,Round of 32,Category 3,790,790,790,380,FIFA Official
1J vs 2H,Hard Rock Stadium,Miami,2026-07-03,Round of 32,Category 2,1540,1540,1540,380,FIFA Official
1J vs 2H,Hard Rock Stadium,Miami,2026-07-03,Round of 32,Category 1,2370,2370,2370,380,FIFA Official
1J vs 2H,Hard Rock Stadium,Miami,2026-07-03,Round of 32,Front Category,3160,3160,3160,380,FIFA Official
1K vs 3DEIJL,Arrowhead Stadium,Kansas City,2026-07-04,Round of 32,Category 3,790,790,790,380,FIFA Official
1K vs 3DEIJL,Arrowhead Stadium,Kansas City,2026-07-04,Round of 32,Category 2,1540,1540,1540,380,FIFA Official
1K vs 3DEIJL,Arrowhead Stadium,Kansas City,2026-07-04,Round of 32,Category 1,2370,2370,2370,380,FIFA Official
1K vs 3DEIJL,Arrowhead Stadium,Kansas City,2026-07-04,Round of 32,Front Category,3160,3160,3160,380,FIFA Official
W73 vs W75,NRG Stadium,Houston,2026-07-04,Round of 16,Category 3,745,745,745,320,FIFA Official
W73 vs W75,NRG Stadium,Houston,2026-07-04,Round of 16,Category 2,1490,1490,1490,320,FIFA Official
W73 vs W75,NRG Stadium,Houston,2026-07-04,Round of 16,Category 1,2715,2715,2715,320,FIFA Official
W73 vs W75,NRG Stadium,Houston,2026-07-04,Round of 16,Front Category,4530,4530,4530,320,FIFA Official
W74 vs W77,Lincoln Financial Field,Philadelphia,2026-07-04,Round of 16,Category 3,745,745,745,320,FIFA Official
W74 vs W77,Lincoln Financial Field,Philadelphia,2026-07-04,Round of 16,Category 2,1490,1490,1490,320,FIFA Official
W74 vs W77,Lincoln Financial Field,Philadelphia,2026-07-04,Round of 16,Category 1,2715,2715,2715,320,FIFA Official
W74 vs W77,Lincoln Financial Field,Philadelphia,2026-07-04,Round of 16,Front Category,4530,4530,4530,320,FIFA Official
W76 vs W78,MetLife Stadium,New York/New Jersey,2026-07-05,Round of 16,Category 3,745,745,745,320,FIFA Official
W76 vs W78,MetLife Stadium,New York/New Jersey,2026-07-05,Round of 16,Category 2,1490,1490,1490,320,FIFA Official
W76 vs W78,MetLife Stadium,New York/New Jersey,2026-07-05,Round of 16,Category 1,2715,2715,2715,320,FIFA Official
W76 vs W78,MetLife Stadium,New York/New Jersey,2026-07-05,Round of 16,Front Category,4530,4530,4530,320,FIFA Official
W79 vs W80,Estadio Azteca,Mexico City,2026-07-06,Round of 16,Category 3,745,745,745,320,FIFA Official
W79 vs W80,Estadio Azteca,Mexico City,2026-07-06,Round of 16,Category 2,1490,1490,1490,320,FIFA Official
W79 vs W80,Estadio Azteca,Mexico City,2026-07-06,Round of 16,Category 1,2715,2715,2715,320,FIFA Official
W79 vs W80,Estadio Azteca,Mexico City,2026-07-06,Round of 16,Front Category,4530,4530,4530,320,FIFA Official
W83 vs W84,AT&T Stadium,Dallas,2026-07-06,Round of 16,Category 3,745,745,745,320,FIFA Official
W83 vs W84,AT&T Stadium,Dallas,2026-07-06,Round of 16,Category 2,1490,1490,1490,320,FIFA Official
W83 vs W84,AT&T Stadium,Dallas,2026-07-06,Round of 16,Category 1,2715,2715,2715,320,FIFA Official
W83 vs W84,AT&T Stadium,Dallas,2026-07-06,Round of 16,Front Category,4530,4530,4530,320,FIFA Official
W81 vs W82,Lumen Field,Seattle,2026-07-07,Round of 16,Category 3,745,745,745,320,FIFA Official
W81 vs W82,Lumen Field,Seattle,2026-07-07,Round of 16,Category 2,1490,1490,1490,320,FIFA Official
W81 vs W82,Lumen Field,Seattle,2026-07-07,Round of 16,Category 1,2715,2715,2715,320,FIFA Official
W81 vs W82,Lumen Field,Seattle,2026-07-07,Round of 16,Front Category,4530,4530,4530,320,FIFA Official
W86 vs W88,Mercedes-Benz Stadium,Atlanta,2026-07-07,Round of 16,Category 3,745,745,745,320,FIFA Official
W86 vs W88,Mercedes-Benz Stadium,Atlanta,2026-07-07,Round of 16,Category 2,1490,1490,1490,320,FIFA Official
W86 vs W88,Mercedes-Benz Stadium,Atlanta,2026-07-07,Round of 16,Category 1,2715,2715,2715,320,FIFA Official
W86 vs W88,Mercedes-Benz Stadium,Atlanta,2026-07-07,Round of 16,Front Category,4530,4530,4530,320,FIFA Official
W85 vs W87,BC Place,Vancouver,2026-07-07,Round of 16,Category 3,745,745,745,320,FIFA Official
W85 vs W87,BC Place,Vancouver,2026-07-07,Round of 16,Category 2,1490,1490,1490,320,FIFA Official
W85 vs W87,BC Place,Vancouver,2026-07-07,Round of 16,Category 1,2715,2715,2715,320,FIFA Official
W85 vs W87,BC Place,Vancouver,2026-07-07,Round of 16,Front Category,4530,4530,4530,320,FIFA Official
W89 vs W90,Gillette Stadium,Boston,2026-07-09,Quarterfinals,Category 3,1120,1120,1120,260,FIFA Official
W89 vs W90,Gillette Stadium,Boston,2026-07-09,Quarterfinals,Category 2,2705,2705,2705,260,FIFA Official
W89 vs W90,Gillette Stadium,Boston,2026-07-09,Quarterfinals,Category 1,3710,3710,3710,260,FIFA Official
W89 vs W90,Gillette Stadium,Boston,2026-07-09,Quarterfinals,Front Category,11130,11130,11130,260,FIFA Official
W93 vs W94,SoFi Stadium,Los Angeles,2026-07-10,Quarterfinals,Category 3,1120,1120,1120,260,FIFA Official
W93 vs W94,SoFi Stadium,Los Angeles,2026-07-10,Quarterfinals,Category 2,2705,2705,2705,260,FIFA Official
W93 vs W94,SoFi Stadium,Los Angeles,2026-07-10,Quarterfinals,Category 1,3710,3710,3710,260,FIFA Official
W93 vs W94,SoFi Stadium,Los Angeles,2026-07-10,Quarterfinals,Front Category,11130,11130,11130,260,FIFA Official
W91 vs W92,Hard Rock Stadium,Miami,2026-07-11,Quarterfinals,Category 3,1120,1120,1120,260,FIFA Official
W91 vs W92,Hard Rock Stadium,Miami,2026-07-11,Quarterfinals,Category 2,2705,2705,2705,260,FIFA Official
W91 vs W92,Hard Rock Stadium,Miami,2026-07-11,Quarterfinals,Category 1,3710,3710,3710,260,FIFA Official
W91 vs W92,Hard Rock Stadium,Miami,2026-07-11,Quarterfinals,Front Category,11130,11130,11130,260,FIFA Official
W95 vs W100,Arrowhead Stadium,Kansas City,2026-07-12,Quarterfinals,Category 3,1120,1120,1120,260,FIFA Official
W95 vs W100,Arrowhead Stadium,Kansas City,2026-07-12,Quarterfinals,Category 2,2705,2705,2705,260,FIFA Official
W95 vs W100,Arrowhead Stadium,Kansas City,2026-07-12,Quarterfinals,Category 1,3710,3710,3710,260,FIFA Official
W95 vs W100,Arrowhead Stadium,Kansas City,2026-07-12,Quarterfinals,Front Category,11130,11130,11130,260,FIFA Official
W97 vs W98,AT&T Stadium,Dallas,2026-07-14,Semifinals,Category 3,2705,2705,2705,200,FIFA Official
W97 vs W98,AT&T Stadium,Dallas,2026-07-14,Semifinals,Category 2,3710,3710,3710,200,FIFA Official
W97 vs W98,AT&T Stadium,Dallas,2026-07-14,Semifinals,Category 1,3710,3710,3710,200,FIFA Official
W97 vs W98,AT&T Stadium,Dallas,2026-07-14,Semifinals,Front Category,11130,11130,11130,200,FIFA Official
W99 vs W100,Mercedes-Benz Stadium,Atlanta,2026-07-15,Semifinals,Category 3,2705,2705,2705,200,FIFA Official
W99 vs W100,Mercedes-Benz Stadium,Atlanta,2026-07-15,Semifinals,Category 2,3710,3710,3710,200,FIFA Official
W99 vs W100,Mercedes-Benz Stadium,Atlanta,2026-07-15,Semifinals,Category 1,3710,3710,3710,200,FIFA Official
W99 vs W100,Mercedes-Benz Stadium,Atlanta,2026-07-15,Semifinals,Front Category,11130,11130,11130,200,FIFA Official
RU101 vs RU102,Hard Rock Stadium,Miami,2026-07-18,Third Place Playoff,Category 3,605,605,605,140,FIFA Official
RU101 vs RU102,Hard Rock Stadium,Miami,2026-07-18,Third Place Playoff,Category 2,1120,1120,1120,140,FIFA Official
RU101 vs RU102,Hard Rock Stadium,Miami,2026-07-18,Third Place Playoff,Category 1,1940,1940,1940,140,FIFA Official
RU101 vs RU102,Hard Rock Stadium,Miami,2026-07-18,Third Place Playoff,Front Category,2735,2735,2735,140,FIFA Official
W101 vs W102,MetLife Stadium,New York/New Jersey,2026-07-19,Final,Category 2,3000,3000,3000,80,FIFA Official
W101 vs W102,MetLife Stadium,New York/New Jersey,2026-07-19,Final,Category 1,8000,8000,8000,80,FIFA Official
W101 vs W102,MetLife Stadium,New York/New Jersey,2026-07-19,Final,Front Category,32179,32179,32179,80,FIFA Official
